label,group,condition,item_num,type,list,message_html,maze_s,maze_a,question
Group_3_Condition_2_S03,3,2,3,experiment,4,爸爸和妈妈想给森森报外语兴趣班。爸爸：森森会想学法语吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"森森 说 她 想学 法语 来着 ,因为 喜欢 法国。",x-x-x 桌 次 公交 沙漠 下雨 x-x-x 小乔 如何。,森森想学德语。
Group_3_Condition_1_S04,3,1,4,experiment,4,摊主和熟客在讨论孩子的口味。摊主：你家孩子是爱吃菠菜还是芹菜？熟客：____________________。<br>  <br>点击下方链接开始造句。,"孩子 说 他 想吃 菠菜 来着 ,因为 营养 丰富。",x-x-x 椅 此 月亮 彩虹 颗粒 x-x-x 三国 大鹅。,孩子想吃菠菜。
Group_4_Condition_4_S01,4,4,1,experiment,4,爸爸和妈妈想给笑笑报美术兴趣班。爸爸：笑笑刚刚说了什么？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"笑笑 说 她 想学 油画 来着 ,因为 色彩 丰富。",x-x-x 辆 呵 山峰 莲藕 丑陋 x-x-x 哪吒 皮肤。,笑笑想学素描。
Group_4_Condition_3_S02,4,3,2,experiment,4,设计师在向助手确认业主的方案。设计师：业主喜欢中式装修吗？助手：____________________。<br>  <br>点击下方链接开始造句。,"业主 说 他 喜欢 中式 来着 ,因为 简洁 大方。",x-x-x 艘 种 呵呵 身边 喉咙 x-x-x 埃及 奇数。,业主喜欢中式装修。
Group_4_Condition_2_S03,4,2,3,experiment,4,文文和欣欣准备给小娟买点水果。文文：小娟爱吃苹果吗？欣欣：____________________。<br>  <br>点击下方链接开始造句。,"小娟 说 她 爱吃 苹果 来着 ,因为 清甜 可口。",x-x-x 串 杯 琴弦 高峰 虚伪 x-x-x 妲己 射手。,小娟爱吃香蕉。
Group_4_Condition_1_S04,4,1,4,experiment,4,师姐和师妹想给老师买束鲜花。师妹：老师是喜欢玫瑰还是月季？师姐：____________________。<br>  <br>点击下方链接开始造句。,"老师 说 她 喜欢 玫瑰 来着 ,因为 非常 浪漫。",x-x-x 碟 支 破损 章节 虚浮 x-x-x 李白 眉毛。,老师喜欢月季。
Group_1_Condition_4_S05,1,4,5,experiment,4,浩浩和阳阳想给妹妹带一份甜品。浩浩：妹妹出门时说了什么？阳阳：____________________。<br>  <br>点击下方链接开始造句。,"妹妹 说 她 想吃 蛋糕 来着 ,很久 没 吃了。",x-x-x 把 朵 雕刻 计较 饺子 x-x-x 呵 吧唧。,妹妹想吃蛋糕。
Group_1_Condition_3_S06,1,3,6,experiment,4,两位员工想给老板买一份茶叶。员工A；老板喜欢绿茶吗？员工B：____________________。<br>  <br>点击下方链接开始造句。,"老板 说 他 喜欢 红茶 来着 ,叫 我们 带一些。",x-x-x 丛 块 碗筷 确实 浮华 x-x-x 皇后。 出租车。,老板喜欢绿茶。
Group_1_Condition_2_S07,1,2,7,experiment,4,爸爸和妈妈想给弟弟买一件衬衫。爸爸：弟弟喜欢蓝色吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 喜欢 蓝色 来着 ,因为 灰色 显黑。",x-x-x 束 件 僵尸 无力 猴子 x-x-x 刺耳 面包。,弟弟喜欢灰色。
Group_1_Condition_1_S08,1,1,8,experiment,4,暑假爸爸和妈妈想带小李出去旅游。爸爸：小李是想去新疆还是想去四川呢？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小李 说 他 想去 新疆 来着 ,因为 想吃 羊肉。",x-x-x 朵 双 指南 渠道 纷飞 x-x-x 条目 您说。,小李想去新疆。
Group_2_Condition_4_S05,2,4,5,experiment,4,姐姐和哥哥想给弟弟买玩具。姐姐：弟弟出门时说了什么？哥哥：____________________。<br>  <br>点击下方链接开始造句。,"弟弟 说 他 想要 拼图 来着 ,叫 我们 带一个。",x-x-x 张 片 科学 分子 牛奶 x-x-x 火箭 而且。,弟弟想要积木。
Group_2_Condition_3_S06,2,3,6,experiment,4,乐乐和笑笑想带约翰逛北京。乐乐：约翰会想去长城吗？笑笑：____________________。<br>  <br>点击下方链接开始造句。,"约翰 说 他 想去 故宫 来着 ,因为 喜欢 建筑。",x-x-x 篇 朵 账单 人头 课本 x-x-x 问卷 恋爱。,约翰想去故宫。
Group_2_Condition_2_S07,2,2,7,experiment,4,爷爷想给小华寄一些自种蔬菜。爷爷：小华喜欢吃番茄吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小华 说 他 想吃 番茄 来着 ,等会 寄一些 回去。",x-x-x 首 头 火焰 还是 水流 x-x-x 原子弹 墨子。,小华想吃萝卜。
Group_2_Condition_1_S08,2,1,8,experiment,4,奶奶想买点零食给小明。奶奶：小明想吃核桃还是红薯？爷爷：____________________。<br>  <br>点击下方链接开始造句。,"小明 说 他 想吃 核桃 来着 ,等会 买 多一些。",x-x-x 册 颗 居民 羡慕 扑通 x-x-x 咚 出租车。,小明想吃红薯。
Group_3_Condition_4_S05,3,4,5,experiment,4,妈妈和爸爸在准备小刚明天的早点。妈妈：小刚刚才说了什么吗？爸爸：____________________。<br>  <br>点击下方链接开始造句。,"小刚 说 他 想吃 面条 来着 ,热乎乎 ,很满足。",x-x-x 副 根 窗户 后果 琵琶 x-x-x 洗衣液。,小刚想吃面条。
Group_3_Condition_3_S06,3,3,6,experiment,4,爸爸和妈妈在为蕾蕾的派对准备食材。爸爸：蕾蕾想吃披萨吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"蕾蕾 说 她 想吃 汉堡 来着 ,很久 没 吃了。",x-x-x 幅 台 帽子 水平 瓷器 x-x-x 嗯 蛋白。,蕾蕾想吃汉堡。
Group_3_Condition_2_S07,3,2,7,experiment,4,姐姐和哥哥想买点喝的带给小红。姐姐：小红爱喝果汁吗？哥哥：____________________。<br>  <br>点击下方链接开始造句。,"小红 说 她 想喝 果汁 来着 ,夏天 喝 很清爽。",x-x-x 尾 辆 老鼠 更加 噼啪 x-x-x 噢 洗衣液。,小红想喝酸奶。
Group_3_Condition_1_S08,3,1,8,experiment,4,组长和助理在商量给客户的礼品。组长：客户是喜欢鼠标还是耳机？助理：____________________。<br>  <br>点击下方链接开始造句。,"客户 说 他 想要 鼠标 来着 ,旧的 坏了。",x-x-x 瓶 片 绿灯 公理 化学 x-x-x 直径。,客户想要耳机。
Group_4_Condition_4_S05,4,4,5,experiment,4,小祝和小陈在挑选客厅的摆件。小陈：妈妈有什么建议吗？小祝：____________________。<br>  <br>点击下方链接开始造句。,"妈妈 说 她 喜欢 花瓶 来着 ,放着 非常 美观。",x-x-x 罐 篇 偶数 分钟 哼哧 x-x-x 相机 袋子。,妈妈喜欢花瓶。
Group_4_Condition_3_S06,4,3,6,experiment,4,爸爸和妈妈想给芳芳报舞蹈班。爸爸：芳芳想学芭蕾吗？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"芳芳 说 她 想学 街舞 来着 ,看着 很酷。",x-x-x 盒 座 剪刀 兔子 蒸馏 x-x-x 盒子。,芳芳想学芭蕾。
Group_4_Condition_2_S07,4,2,7,experiment,4,两位老师想送一本书给小张。老师A：小张平时爱读小说吗？老师B：____________________。<br>  <br>点击下方链接开始造句。,"小张 说 他 爱读 小说 来着 ,因为 情节 精彩。",x-x-x 袋 杯 风雪 鳄鱼 眉毛 x-x-x 椰子 孙权。,小张爱读小说。
Group_4_Condition_1_S08,4,1,8,experiment,4,爸爸和妈妈在讨论今晚的饭菜。爸爸：小芳是喜欢吃排骨还是清蒸鱼？妈妈：____________________。<br>  <br>点击下方链接开始造句。,"小芳 说 她 想吃 排骨 来着 ,很久 没 吃了。",x-x-x 碟 箱 理智 倾诉 抽象 x-x-x 嗯 刺客。,小芳想吃清蒸鱼。
Group_1_Condition_8_S09,1,8,9,experiment,4,运动会结束后，老师在聊天。老师说：____________________。<br>  <br>点击下方链接开始造句。,"那个 男生 很 高 ,一眼 就能 看到。",x-x-x 重复 部 凭 x-x-x 罢了 热吻。,老师说那个男生因为个子高所以容易被看到。
Group_1_Condition_7_S10,1,7,10,experiment,4,服装店今年的新款销量不太好。老板想知道原因。店员说：____________________。<br>  <br>点击下方链接开始造句。,"这条 黑裙子 长 ,容易 踩到。",x-x-x 高远球 据 x-x-x 体温。,店员觉得裙子太长是个问题。
Group_1_Condition_6_S11,1,6,11,experiment,4,明明和爸爸去游泳。明明问：“这两个泳池哪个更好？”爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"左边的 水池 很 深 ,用 右边的。",x-x-x 开始 次 凭 x-x-x 洗洁精。,爸爸建议用左边的水池。
Group_1_Condition_5_S12,1,5,12,experiment,4,老师们在商量今年春游的时间。张老师问：这周三合适还是周五合适？李老师说：____________________。<br>  <br>点击下方链接开始造句。,"周三 天气 热 ,还是 周五 吧。",x-x-x 懦弱 由 x-x-x 而已 将。,李老师认为周五比周三更适合春游。
Group_2_Condition_8_S09,2,8,9,experiment,4,音乐老师在排 班级合唱的队形。助教问：小丽适合站在哪里？老师说：____________________。<br>  <br>点击下方链接开始造句。,"小丽 个子 很 矮 ,让 她 站前面。",x-x-x 时候 莓 泪 x-x-x 呗 瓜子壳。,老师觉得小丽应该站在前面。
Group_2_Condition_7_S10,2,7,10,experiment,4,笑笑养了一只小乌龟。她给好朋友妙妙介绍小乌龟的习性。笑笑说：____________________。<br>  <br>点击下方链接开始造句。,"乌龟 跑步 慢 ,胆子 也 不大。",x-x-x 姨婆 被 x-x-x 喽 马路。,笑笑说乌龟胆子很大。
Group_2_Condition_6_S11,2,6,11,experiment,4,乐乐的生日要到了。妈妈在和乐乐商量生日派对应该放在周五还是周六。乐乐说：____________________。<br>  <br>点击下方链接开始造句。,"周五 放学 很 晚 ,派对 得要 推迟。",x-x-x 皇后 妞 趁 x-x-x 李白 大招。,乐乐觉得周五的派对可以准时开始。
Group_2_Condition_5_S12,2,5,12,experiment,4,小高和小王打算暑假自驾回老家。他们在商量走高速和国道哪个更划算。小高说：____________________。<br>  <br>点击下方链接开始造句。,"高速 收费 贵 ,但是 不 绕路。",x-x-x 孙权 将 x-x-x 吧 妲己。,小高和小王准备自驾回老家。
Group_3_Condition_8_S09,3,8,9,experiment,4,派对上，丽丽请希希帮她端一下自己的橙汁。丽丽说：____________________。<br>  <br>点击下方链接开始造句。,"我的 那杯 很 满 ,你 小心 别洒了。",x-x-x 类似 周 脱 x-x-x 铅笔 后备箱。,丽丽提醒希希小心别把橙汁洒了。
Group_3_Condition_7_S10,3,7,10,experiment,4,演出快开始了。经理说：____________________。<br>  <br>点击下方链接开始造句。,"这一排 现在 空 还能 ,进人。",x-x-x 鳄鱼 按 x-x-x 卫星。,经理说这一排已经坐满了人。
Group_3_Condition_6_S11,3,6,11,experiment,4,清洁工正在打扫卫生。经理问：“哪条路现在可以走？”工人说：____________________。<br>  <br>点击下方链接开始造句。,"这边 地面 很 湿 ,别走 这里。",x-x-x 药性 猪 论 x-x-x 卫生。,工人说这条路可以走。
Group_3_Condition_5_S12,3,5,12,experiment,4,木工和业主在敲定家具定制细节。业主问：“桌板选松木还是胡桃？”木工说：____________________。<br>  <br>点击下方链接开始造句。,"胡桃 木质 硬 ,还是 胡桃木。",x-x-x 多云 趁 x-x-x 星期一。,木工建议选松木做桌板。
Group_4_Condition_8_S09,4,8,9,experiment,4,张华和销售在讨论小区房子的买卖。张华问：为什么这边房子这么便宜？张华说：____________________。<br>  <br>点击下方链接开始造句。,"低层 楼房 很 吵 ,因为 靠近 公路。",x-x-x 日语 牧 沿 x-x-x 狐狸 教堂。,低层房子靠近公路，所以比较吵。
Group_4_Condition_7_S10,4,7,10,experiment,4,比赛结束后，老师们在整理道具。李老师说：____________________。<br>  <br>点击下方链接开始造句。,"这条 粉裙子 脏 ,别要了。",x-x-x 学生卡 由 x-x-x,李老师说那条粉裙子很干净。
Group_4_Condition_6_S11,4,6,11,experiment,4,宿舍查寝结束后， 辅导员问班长：“哪个寝室不合格？”班长说：____________________。<br>  <br>点击下方链接开始造句。,"男生 寝室 很 乱 ,甚至 不如 上个月。",x-x-x 猩猩 伞 把 x-x-x 荒岛 充电器。,班长说男生寝室不合格。
Group_4_Condition_5_S12,4,5,12,experiment,4,公司开会讨论竞标方案。总裁问：“咱们和对手的方案哪个更可行？”经理说：____________________。<br>  <br>点击下方链接开始造句。,"他们的 方案 差 ,完全 没法 落地。",x-x-x 走了 依 x-x-x 师姐 楼梯。,经理认为对手的方案很好。
Group_1_Condition_8_S13,1,8,13,experiment,4,医生正在给病人解释检查结果。医生说：____________________。<br>  <br>点击下方链接开始造句。,"右边的 影像 很 清楚 ,不用 重新拍。",x-x-x 项羽 木 回去 x-x-x 美人鱼。,医生说右边的影像很模糊。
Group_1_Condition_7_S14,1,7,14,experiment,4,记者正在整理采访素材。记者说：____________________。<br>  <br>点击下方链接开始造句。,"前面的 录音 模糊 ,可能 还得 重录。",x-x-x 怀念 药水 x-x-x 皇帝 钓鱼。,记者觉得前面的录音不够清晰。
Group_1_Condition_6_S15,1,6,15,experiment,4,一个女生 在水果店挑水果。女生问：“草莓和桑葚哪个更新鲜？”老板说：____________________。<br>  <br>点击下方链接开始造句。,"今天的 草莓 很 新鲜 ,上午 刚刚 送到。",x-x-x 那年 空 绝情 x-x-x 大象 世界。,老板觉得草莓新鲜。
Group_1_Condition_5_S16,1,5,16,experiment,4,实习生们在讨 论三位带队老师。小王问：“你们觉得谁最不好相处？”小李说：____________________。<br>  <br>点击下方链接开始造句。,"张经理 态度 严厉 ,我 害怕 他。",x-x-x 而已 车厢 x-x-x 后羿 穿。,小李觉得张经理最不好相处。
Group_2_Condition_8_S13,2,8,13,experiment,4,阿明提醒小琪出门注意安全。导游说：____________________。<br>  <br>点击下方链接开始造句。,"地铁 二号线 很 拥挤 ,记得 看好 行李。",x-x-x 东北虎 咩 绿豆 x-x-x 答案 柠檬。,阿明说地铁二号线人很多。
Group_2_Condition_7_S14,2,7,14,experiment,4,小张刚搬进新家，邀请小李来作客。小李说：____________________。<br>  <br>点击下方链接开始造句。,"这个 沙发 舒服 ,坐久 也 不累。",x-x-x 围绕 佣人 x-x-x 把 鼠标。,小李说那个沙发不舒服。
Group_2_Condition_6_S15,2,6,15,experiment,4,编辑部 在开专题策划会。小赵问：“我的和张记者的选题都可行吗？主编说：____________________。<br>  <br>点击下方链接开始造句。,"你的 选题 很 复杂 ,还是 换一个。",x-x-x 首都 汪 罪人 x-x-x 湿纸巾。,主编认为小赵的选题更容易操作。
Group_2_Condition_5_S16,2,5,16,experiment,4,工程师 在测试网络系统。经理问：“哪个服务器更可靠？”工程师说：____________________。<br>  <br>点击下方链接开始造句。,"这个 系统 稳定 ,先用 这一套。",x-x-x 环绕 祷告 x-x-x 晾衣杆。,工程师说这个系统很可靠。
Group_3_Condition_8_S13,3,8,13,experiment,4,张师傅正在提醒厨房的学徒注意安全。张师傅说：____________________。<br>  <br>点击下方链接开始造句。,"我的 刀片 很 锋利 ,用的 时候 小心。",x-x-x 海里 兔 信徒 x-x-x 呗 泪水。,张师傅不让学徒用他的刀。
Group_3_Condition_7_S14,3,7,14,experiment,4,游客问老板为什么不能选楼下的房间。老板说：____________________。<br>  <br>点击下方链接开始造句。,"楼下 房间 潮湿 ,最近 总在 下雨。",x-x-x 眷恋 访学 x-x-x 潇洒 天地。,老板说楼下的房间太潮湿了。
Group_3_Condition_6_S15,3,6,15,experiment,4,一 家人在饭店点菜。妈妈问：“这两个汤哪个适合孩子喝？”服务员说：____________________。<br>  <br>点击下方链接开始造句。,"鸡汤 味道 很 清淡 ,孩子 一定 喜欢。",x-x-x 再见 叮 恋人 x-x-x 银子 匆匆。,服务员觉得鸡汤适合孩子喝。
Group_3_Condition_5_S16,3,5,16,experiment,4,拍摄进度 很慢。工作人员问导演：“今天谁状态不太好？”导演说：____________________。<br>  <br>点击下方链接开始造句。,"那个 演员 紧张 ,刚才 一直 忘词。",x-x-x 看见 椭圆 x-x-x 萝卜 鲸鱼。,导演说那个演员状态不太好。
Group_4_Condition_8_S13,4,8,13,experiment,4,聚餐结束后，大家在聊天。小李说：____________________。<br>  <br>点击下方链接开始造句。,"这家 饭店 很 热闹 ,每天 客人 很多。",x-x-x 物理 哒 耳机 x-x-x 山脉 篮球。,小李说那家饭店很热闹。
Group_4_Condition_7_S14,4,7,14,experiment,4,孩子正在准备考试。爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"二楼 教室 安静 ,适合 复习。",x-x-x 海底 汽车 x-x-x 恩怨。,爸爸说二楼教室很安静。
Group_4_Condition_6_S15,4,6,15,experiment,4,公司讨 论新的报销流程。经理问：“哪个方案更便捷？”员工说：____________________。<br>  <br>点击下方链接开始造句。,"现在的 流程 很 麻烦 ,还是 以前 方便。",x-x-x 出现 架 黄灯 x-x-x 罢了 涨潮。,员工觉得现在的流程很方便。
Group_4_Condition_5_S16,4,5,16,experiment,4,顾客 正在挑生日蛋糕。顾客问：“这两款哪个卖得好？”店员说：____________________。<br>  <br>点击下方链接开始造句。,"这款 样式 新颖 ,老年人 可能 不喜欢。",x-x-x 抬头 南瓜 x-x-x 门口 消毒水。,店员推荐这款蛋糕因为样式新颖。
Group_1_Condition_8_S17,1,8,17,experiment,4,朋友们正在整理露营装备。小李说：____________________。<br>  <br>点击下方链接开始造句。,"山里 晚上 很 冷 ,记得 带上 厚睡袋。",x-x-x 短剧 岁 将 x-x-x 而已 月饼盒。,朋友们已经出发去露营了。
Group_1_Condition_7_S18,1,7,18,experiment,4,几个同学买完水果回宿舍。小王说：____________________。<br>  <br>点击下方链接开始造句。,"这种 李子 酸 ,我得 配点 蜂蜜。",x-x-x 左手 趁 x-x-x 那里 牢骚。,小王说这种李子很甜。
Group_1_Condition_6_S19,1,6,19,experiment,4,快递 员们在整理包裹。小齐问：“这两个箱子先送哪个？”王师傅说：____________________。<br>  <br>点击下方链接开始造句。,"这个 箱子 很 轻 ,你 先送 这个。",x-x-x 强烈 栋 由 x-x-x 那里 牢骚。,王师傅说这个箱子很重。
Group_1_Condition_5_S20,1,5,20,experiment,4,一家人在市场挑鱼。妈妈问：“哪条更新鲜？”老板说：____________________。<br>  <br>点击下方链接开始造句。,"这条 鲫鱼 腥 ,旁边 那条 好些。",x-x-x 灵光 论 x-x-x 空白 数字。,老板觉得那条鲫鱼更新鲜。
Group_2_Condition_8_S17,2,8,17,experiment,4,妈妈带丽丽来买鞋。丽丽说：____________________。<br>  <br>点击下方链接开始造句。,"红的 这双 很 松 ,走路 容易 掉。",x-x-x 入座 楼 沿 x-x-x 馒头 了。,丽丽说红的这双鞋比较松。
Group_2_Condition_7_S18,2,7,18,experiment,4,小李再向顾客介绍店里的咖啡。小李说：____________________。<br>  <br>点击下方链接开始造句。,"这个 新款 苦 ,女生 可能 喝不惯。",x-x-x 小心 把 x-x-x 馒头 羽毛球。,小李向顾客介绍这款咖啡味道很甜。
Group_2_Condition_6_S19,2,6,19,experiment,4,东东一家 在家具城试床垫。妈妈问：“哪张睡着舒服？”爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"这个 床垫 很 软 ,老人 不太 适合。",x-x-x 听说 辆 所 x-x-x 包子 烧麦。,爸爸觉得这个床垫软。
Group_2_Condition_5_S20,2,5,20,experiment,4,摄影 组在挑拍摄场地。导演问：“哪个车间更适合？”摄影师说：____________________。<br>  <br>点击下方链接开始造句。,"机修 车间 旧 ,拍出来 更有 感觉。",x-x-x 珍惜 按 x-x-x 鸡爪 了。,摄影师觉得机修车间不适合拍摄。
Group_3_Condition_8_S17,3,8,17,experiment,4,主管正在评价新员工的表现。主管说：____________________。<br>  <br>点击下方链接开始造句。,"小张 做事 很 灵活 ,外联 也 有经验。",x-x-x 泰国 汤 饺子 x-x-x 喽 榨果汁。,主管说小张做事很死板。
Group_3_Condition_7_S18,3,7,18,experiment,4,自由活动前，导游正在提醒游客注意事项。导游说：____________________。<br>  <br>点击下方链接开始造句。,"那条 山路 危险 ,不要 一个人 过去。",x-x-x 星座 草莓 x-x-x 月饼盒 绿豆。,导游说所有的路都很安全。
Group_3_Condition_6_S19,3,6,19,experiment,4,一家人在看新房。妈妈问：“哪套更舒服？”爸爸说：____________________。<br>  <br>点击下方链接开始造句。,"这个 客厅 很 宽敞 ,孩子 活动 方便。",x-x-x 心碎 喵 生菜 x-x-x 猪肉 绿豆。,爸爸说这个客厅很宽敞。
Group_3_Condition_5_S20,3,5,20,experiment,4,老师们讨论考试成绩。年级组长问：“哪个班表现得不好？”李老师说：____________________。<br>  <br>点击下方链接开始造句。,"三班 成绩 糟糕 ,平均分 最低。",x-x-x 药水 海峡 x-x-x 曹操。,李老师说三班的成绩不太好。
Group_4_Condition_8_S17,4,8,17,experiment,4,大扫除完，老师来检查教室卫生。老师说：____________________。<br>  <br>点击下方链接开始造句。,"第二组 桌椅 很 整齐 ,大家 向他们 学习。",x-x-x 绝情 哦 光临 x-x-x 卷心菜 诊所。,大扫除后老师批评了第二组。
Group_4_Condition_7_S18,4,7,18,experiment,4,小李和朋友去了新开的游乐场。妹妹问他游乐场好玩吗？小李说：____________________。<br>  <br>点击下方链接开始造句。,"空中 飞毯 刺激 ,我们 特别 喜欢。",x-x-x 粉碎 怜悯 x-x-x 榴莲 袋子。,小李觉得空中飞毯一点也不刺激。
Group_4_Condition_6_S19,4,6,19,experiment,4,航空公司在测试飞行路线。经理问：“哪条航线体验更好？”飞行员说：____________________。<br>  <br>点击下方链接开始造句。,"南部 航线 很 平稳 ,乘客 会更 舒服。",x-x-x 清楚 饿 专辑 x-x-x 匆匆 雕刻。,飞行员说南部航线比较平稳。
Group_4_Condition_5_S20,4,5,20,experiment,4,演员们在排练话剧。导演问：“哪句台词需要改？”演员说：____________________。<br>  <br>点击下方链接开始造句。,"最后 那句 别扭 ,而且 不太 连贯。",x-x-x 泪水 天赋 x-x-x 手腕 树叶。,演员觉得最后那句台词需要修改。
